fecha,CASOS,tmean,tmax,tmin,humr,ptot,month
2016-01-07,12,26.9,31.1,24.3,89.8,59.9,1
2016-01-14,14,28.8,33.2,25.6,82.1,6.6,1
2016-01-21,6,27.0,30.5,24.9,89.6,37.6,1
2016-01-28,20,27.5,31.9,24.9,86.8,46.4,1
2016-02-04,32,26.8,30.9,24.2,88.9,108.2,2
2016-02-11,34,25.6,29.2,23.7,93.4,230.7,2
2016-02-18,30,26.6,30.4,24.3,90.5,82.5,2
2016-02-25,21,26.4,30.1,24.4,91.7,79.8,2
2016-03-03,52,26.1,29.1,24.2,93.3,95.9,3
2016-03-10,73,26.9,30.7,24.7,90.5,75.3,3
2016-03-17,67,25.9,29.1,24.0,93.5,128.4,3
2016-03-24,41,26.2,30.2,24.3,92.5,87.9,3
2016-03-31,48,25.4,28.6,23.6,94.0,195.7,3
2016-04-07,53,26.3,30.4,24.0,91.5,102.9,4
2016-04-14,59,26.3,30.2,24.0,90.9,63.5,4
2016-04-21,33,26.0,29.9,23.8,92.3,181.6,4
2016-04-28,50,25.2,29.1,23.0,87.5,26.9,4
2016-05-05,43,25.4,29.2,22.5,88.0,5.5,5
2016-05-12,27,25.9,29.4,23.5,92.5,53.3,5
2016-05-19,49,25.9,29.5,23.6,92.2,29.0,5
2016-05-26,20,25.1,28.2,22.9,92.4,70.6,5
2016-06-02,23,24.8,28.5,22.8,94.0,22.7,6
2016-06-09,12,25.0,28.2,23.3,93.8,48.1,6
2016-06-16,14,24.1,27.5,21.6,89.5,8.8,6
2016-06-23,14,23.8,26.8,22.1,95.5,36.3,6
2016-06-30,24,24.4,28.0,22.2,93.0,22.1,6
2016-07-07,19,24.4,27.9,22.4,93.6,41.4,7
2016-07-14,20,25.4,29.9,23.0,91.8,85.3,7
2016-07-21,11,24.2,27.7,22.2,93.0,24.4,7
2016-07-28,9,24.5,28.1,22.4,93.1,28.9,7
2016-08-04,8,25.5,29.8,22.8,90.4,45.3,8
2016-08-11,20,25.4,29.6,22.8,90.8,12.6,8
2016-08-18,10,26.4,30.9,23.4,89.9,24.3,8
2016-08-25,11,25.2,29.4,22.4,89.1,34.7,8
2016-09-01,8,25.5,29.8,22.7,90.1,90.1,9
2016-09-08,6,25.4,29.6,22.6,89.1,15.8,9
2016-09-15,14,26.0,30.3,23.6,90.9,23.1,9
2016-09-22,11,25.5,29.5,23.1,91.2,94.6,9
2016-09-29,16,26.1,30.9,23.6,91.4,17.5,9
2016-10-06,18,25.9,29.6,23.5,91.1,29.2,10
2016-10-13,21,25.4,28.9,23.4,93.6,77.1,10
2016-10-20,38,27.3,31.9,24.3,88.7,13.2,10
2016-10-27,22,26.1,30.3,23.8,89.5,68.4,10
2016-11-03,70,26.5,30.8,23.6,86.2,81.7,11
2016-11-10,85,26.4,30.9,23.8,90.4,31.3,11
2016-11-17,46,27.3,31.3,24.7,86.9,69.0,11
2016-11-24,23,26.6,31.0,23.6,88.6,65.9,11
2016-12-01,14,25.7,29.0,23.4,92.5,76.4,12
2016-12-08,19,26.2,29.9,23.8,89.6,90.0,12
2016-12-15,6,25.6,29.4,23.5,91.3,83.4,12
2016-12-22,27,26.2,30.3,23.7,87.7,12.9,12
2016-12-29,15,25.2,29.3,23.2,92.3,149.6,12
2017-01-05,16,24.8,28.4,23.0,94.8,151.3,1
2017-01-12,24,24.9,28.2,22.9,93.2,129.5,1
2017-01-19,19,25.7,30.0,23.4,90.9,63.5,1
2017-01-26,19,25.3,29.1,23.1,91.3,81.0,1
2017-02-02,16,25.1,29.5,22.9,92.2,77.4,2
2017-02-09,16,25.9,29.7,23.8,91.3,90.2,2
2017-02-16,16,26.3,30.7,24.0,88.1,141.7,2
2017-02-23,8,25.5,29.5,23.5,92.0,59.8,2
2017-03-02,3,25.9,30.2,23.4,89.4,79.2,3
2017-03-09,6,25.3,29.2,23.2,93.2,115.8,3
2017-03-16,7,25.9,30.6,23.4,88.9,119.3,3
2017-03-23,3,25.8,30.4,23.4,91.0,47.4,3
2017-03-30,4,25.9,30.2,23.7,91.5,109.9,3
2017-04-06,8,25.7,30.3,23.3,91.2,60.4,4
2017-04-13,1,25.7,29.6,23.6,91.3,40.2,4
2017-04-20,8,25.9,30.0,23.6,91.0,35.2,4
2017-04-27,5,25.7,29.6,23.5,92.1,15.3,4
2017-05-04,8,25.3,28.8,23.1,91.9,13.7,5
2017-05-11,13,26.0,30.2,23.7,91.2,74.7,5
2017-05-18,10,26.2,30.2,24.0,90.6,35.8,5
2017-05-25,4,25.6,29.5,23.4,91.6,41.2,5
2017-06-01,7,25.6,29.3,23.3,91.5,21.7,6
2017-06-08,7,25.9,30.1,23.6,91.0,39.3,6
2017-06-15,10,24.8,28.7,22.7,92.0,36.4,6
2017-06-22,4,24.8,29.1,22.3,90.7,101.9,6
2017-06-29,4,25.4,29.7,23.1,91.5,20.9,6
2017-07-06,5,24.5,28.2,22.4,92.1,24.0,7
2017-07-13,5,25.6,30.3,22.1,86.4,10.3,7
2017-07-20,7,24.1,28.3,20.9,83.5,7.8,7
2017-07-27,4,25.2,29.5,22.3,88.0,10.3,7
2017-08-03,6,26.0,31.0,22.8,87.8,31.6,8
2017-08-10,1,26.3,31.3,23.2,88.1,45.7,8
2017-08-17,3,26.7,31.6,23.8,87.6,33.4,8
2017-08-24,8,25.5,29.8,22.7,90.0,100.3,8
2017-08-31,4,26.4,31.3,23.4,88.5,43.7,8
2017-09-07,4,26.9,31.7,23.8,87.5,39.9,9
2017-09-14,13,26.5,31.1,23.7,89.1,86.9,9
2017-09-21,9,26.1,30.5,23.3,90.3,63.3,9
2017-09-28,11,25.7,29.9,23.5,91.9,21.8,9
2017-10-05,6,26.0,29.8,23.6,90.2,69.8,10
2017-10-12,4,26.7,31.7,23.6,86.9,20.6,10
2017-10-19,6,25.9,29.9,23.8,92.2,62.9,10
2017-10-26,12,25.4,29.7,23.1,91.5,63.7,10
2017-11-02,20,26.4,30.6,23.9,89.3,86.3,11
2017-11-09,63,25.8,30.1,23.7,92.9,112.7,11
2017-11-16,76,25.9,29.3,23.8,92.0,121.3,11
2017-11-23,49,26.1,30.1,23.8,90.9,126.0,11
2017-11-30,70,26.1,30.2,23.8,90.9,58.1,11
2017-12-07,58,25.7,29.8,23.5,92.5,65.9,12
2017-12-14,41,27.2,32.1,24.0,84.6,60.7,12
2017-12-21,30,25.7,29.5,23.5,88.7,25.3,12
2017-12-28,21,25.6,29.4,23.4,91.0,59.6,12
2018-01-04,21,25.7,30.3,23.3,91.7,100.9,1
2018-01-11,12,25.2,29.0,23.0,91.7,74.4,1
2018-01-18,17,24.6,28.0,22.7,93.3,136.0,1
2018-01-25,14,24.8,27.9,23.0,92.7,33.5,1
2018-02-01,22,26.7,30.9,24.3,88.4,12.3,2
2018-02-08,27,27.2,31.5,24.3,85.0,23.8,2
2018-02-15,26,25.5,29.4,23.4,89.4,33.7,2
2018-02-22,22,26.5,30.9,23.4,85.0,7.5,2
2018-03-01,22,25.7,29.9,23.2,89.3,137.8,3
2018-03-08,26,25.7,29.5,23.4,91.3,158.5,3
2018-03-15,26,26.5,31.5,23.7,89.4,67.9,3
2018-03-22,26,26.2,30.1,23.9,90.5,32.0,3
2018-03-29,30,25.4,29.3,23.5,92.1,131.3,3
2018-04-05,32,25.3,29.0,23.1,91.6,52.2,4
2018-04-12,33,25.6,29.1,23.5,91.0,35.4,4
2018-04-19,26,24.3,27.4,22.7,94.7,58.5,4
2018-04-26,14,25.1,29.0,22.9,92.8,43.8,4
2018-05-03,25,25.2,28.8,23.2,93.2,75.2,5
2018-05-10,20,24.9,28.6,22.9,92.9,21.2,5
2018-05-17,16,25.2,28.9,23.0,91.5,48.3,5
2018-05-24,20,24.3,27.3,22.5,93.0,115.6,5
2018-05-31,13,25.2,29.4,23.1,93.6,31.1,5
2018-06-07,20,24.1,27.0,21.8,88.5,8.5,6
2018-06-14,19,24.5,27.6,22.5,92.6,33.0,6
2018-06-21,11,24.1,28.0,21.3,85.1,23.5,6
2018-06-28,21,24.4,28.3,22.1,91.9,15.0,6
2018-07-05,9,25.8,30.4,22.7,87.5,6.2,7
2018-07-12,12,24.1,27.8,21.6,89.8,34.1,7
2018-07-19,10,24.9,28.7,22.4,92.3,30.4,7
2018-07-26,7,24.7,28.6,22.1,91.0,40.1,7
2018-08-02,10,24.8,28.6,22.7,92.7,70.3,8
2018-08-09,10,24.6,28.3,22.4,91.9,17.0,8
2018-08-16,3,25.1,29.4,22.6,91.3,58.6,8
2018-08-23,3,24.8,29.1,22.2,90.9,64.7,8
2018-08-30,7,24.9,29.7,22.3,89.8,17.5,8
2018-09-06,7,25.2,30.0,21.8,86.6,102.3,9
2018-09-13,2,26.6,31.3,23.5,88.0,61.0,9
2018-09-20,2,26.3,30.3,23.7,89.9,127.6,9
