fecha,CASOS,tmean,tmax,tmin,humr,ptot,month
2016-01-14,1,27.2,34.0,23.0,68.0,0.0,1
2016-01-21,4,27.7,34.6,23.3,66.7,5.1,1
2016-01-28,5,27.5,33.9,23.7,69.3,10.9,1
2016-02-04,3,27.2,32.5,23.9,73.8,6.2,2
2016-02-11,13,27.3,32.9,23.9,73.5,18.5,2
2016-02-18,13,28.7,35.5,24.3,66.3,0.1,2
2016-02-25,28,27.7,32.9,24.6,76.9,16.6,2
2016-03-03,38,26.4,31.0,24.0,82.6,75.3,3
2016-03-10,49,26.6,30.6,23.7,83.6,17.7,3
2016-03-17,48,27.2,32.2,23.5,71.7,0.0,3
2016-03-24,38,28.5,34.3,24.5,66.7,0.0,3
2016-03-31,39,27.9,33.6,24.5,71.2,5.3,3
2016-04-07,48,28.0,34.1,23.9,67.9,15.2,4
2016-04-14,50,27.3,32.9,23.6,68.6,0.1,4
2016-04-21,49,26.8,33.8,22.3,66.6,14.1,4
2016-04-28,46,26.9,33.8,22.2,65.2,0.4,4
2016-05-05,87,26.6,34.0,21.3,63.0,0.0,5
2016-05-12,75,26.5,33.7,21.6,62.7,0.0,5
2016-05-19,86,25.7,32.7,20.8,65.1,0.0,5
2016-05-26,59,25.2,32.6,20.1,66.4,0.0,5
2016-06-02,73,25.0,32.5,20.2,67.4,6.2,6
2016-06-09,45,24.0,30.1,19.7,67.8,0.0,6
2016-06-16,50,24.0,31.0,18.8,69.0,0.0,6
2016-06-23,33,23.4,30.4,18.4,67.0,0.0,6
2016-06-30,38,22.8,29.6,17.8,68.9,0.0,6
2016-07-07,28,22.6,29.6,17.6,68.5,0.0,7
2016-07-14,28,22.9,29.8,18.2,69.6,0.0,7
2016-07-21,29,22.7,29.7,18.2,71.8,0.0,7
2016-07-28,13,22.7,29.2,18.2,71.0,0.0,7
2016-08-04,23,22.5,29.3,17.8,70.3,0.0,8
2016-08-11,17,22.6,29.4,17.6,69.4,0.0,8
2016-08-18,10,22.4,29.3,17.8,71.0,0.0,8
2016-08-25,8,22.7,29.8,18.3,71.2,0.0,8
2016-09-01,15,22.5,29.4,18.2,70.6,0.0,9
2016-09-08,13,22.7,30.4,17.7,68.7,0.0,9
2016-09-15,13,22.7,30.0,17.9,69.9,1.5,9
2016-09-22,7,23.4,30.9,18.9,70.1,1.5,9
2016-09-29,8,22.9,30.4,18.3,69.7,0.1,9
2016-10-06,4,22.5,29.6,18.2,70.6,0.1,10
2016-10-13,4,23.4,31.2,18.7,69.0,0.0,10
2016-10-20,5,23.3,31.2,18.7,68.8,0.0,10
2016-10-27,4,22.6,30.7,17.5,68.9,0.0,10
2016-11-03,2,22.4,30.2,16.9,68.5,0.0,11
2016-11-10,4,24.1,31.6,19.4,68.8,0.0,11
2016-11-17,3,23.6,32.2,18.1,68.3,0.0,11
2016-11-24,6,22.2,30.2,16.7,68.9,0.0,11
2016-12-01,1,24.0,31.3,19.1,66.6,0.0,12
2016-12-08,5,24.9,32.4,20.1,68.6,0.0,12
2016-12-15,3,24.4,31.5,19.5,69.9,4.4,12
2016-12-22,2,25.6,33.0,20.5,63.3,0.0,12
2016-12-29,1,25.9,32.7,21.5,67.1,16.5,12
2017-01-05,11,26.1,32.3,22.2,70.5,5.7,1
2017-01-12,8,26.5,32.4,22.5,69.9,0.0,1
2017-01-19,14,27.1,33.8,22.6,67.2,3.0,1
2017-01-26,9,27.8,34.4,23.5,66.3,13.6,1
2017-02-02,7,26.4,30.9,24.1,82.3,106.7,2
